name,company,year,Price,kms_driven,fuel_type
ScorpioSLX,Mahindra,2004,175000,60000,Diesel
VentoComfortline,Volkswagen,2011,200000,95000,Diesel
IndigoCS,Tata,2017,270000,50000,Diesel
CityZX,Honda,2006,180000,50000,Petrol
SuzukiWagon,Maruti,2008,140000,68000,Petrol
EcoSportTrend,Ford,2014,400000,16000,Petrol
SuzukiSwift,Maruti,2016,499000,51000,Diesel
SuzukiOmni,Maruti,2009,85000,56000,Petrol
SuzukiZen,Maruti,2004,70000,100000,Petrol
DusterRxL,Renault,2015,550000,36000,Petrol
SuzukiSwift,Maruti,2014,370000,11523,Petrol
SuzukiBaleno,Maruti,2018,690000,1000,Petrol
WRV,Honda,2009,250000,60000,Petrol
IndigoCS,Tata,2016,110000,85000,Diesel
Duster110,Renault,2013,490000,38600,Diesel
ScorpioLX,Mahindra,2009,320000,95500,Diesel
SuzukiWagon,Maruti,2014,130000,37458,Petrol
SuzukiSX4,Maruti,2016,970000,85960,Diesel
EonD,Hyundai,2018,280000,35000,Petrol
ScorpioSLX,Mahindra,2008,285000,80000,Diesel
SantroAE,Hyundai,2011,165000,45000,Petrol
SuzukiSwift,Maruti,2009,250000,51000,Diesel
XyloD2,Mahindra,2011,390000,48000,Diesel
BeatLT,Chevrolet,2015,215000,90000,Diesel
SuzukiSwift,Maruti,2015,475000,43000,Diesel
XUV500W8,Mahindra,2015,899000,53000,Diesel
Fortuner3.0,Toyota,2013,1499000,97000,Diesel
SuzukiAlto,Maruti,2013,240000,20000,Petrol
GetzGLE,Hyundai,2007,99000,55000,Petrol
SuzukiSwift,Maruti,2014,260000,120000,Diesel
SantroXing,Hyundai,2007,115000,46000,Petrol
SantroXing,Hyundai,2009,88000,43200,Petrol
XyloD2,Mahindra,2011,390000,56000,Diesel
SantroXing,Hyundai,2007,135000,42000,Petrol
IndicaV2,Tata,2009,90000,30600,Diesel
i10Sportz,Hyundai,2011,220000,38000,Petrol
Grandi10,Hyundai,2017,424999,2550,Petrol
SantroXing,Hyundai,2007,135000,47000,Petrol
City1.5,Honda,2005,95000,41000,Petrol
MicraXL,Nissan,2017,430000,62500,Diesel
City1.5,Honda,2005,115000,68000,Petrol
SuzukiAlto,Maruti,2015,215000,50000,Petrol
SuzukiErtiga,Maruti,2012,500000,48000,Diesel
IndicaeV2,Tata,2012,85000,55000,Diesel
SuzukiOmni,Maruti,2013,165000,25000,Petrol
EonEra,Hyundai,2014,200000,28400,Petrol
Eon,Hyundai,2014,200000,28000,Petrol
SuzukiSwift,Maruti,2015,425000,42000,Diesel
Verna1.6,Hyundai,2012,600000,29000,Diesel
TaveraLS,Chevrolet,2005,130000,68485,Diesel
TiagoRevotron,Tata,2018,430000,3500,Petrol
SuzukiZen,Maruti,2006,71000,32000,Petrol
KUV100K8,Mahindra,2018,560000,8000,Diesel
EcoSportTitanium,Ford,2014,590000,34000,Diesel
MotorsAmbassador,Hindustan,1995,750000,37000,Petrol
Fusion1.4,Ford,2007,125000,85455,Diesel
SantroXing,Hyundai,2007,135000,46000,Petrol
LineaEmotion,Fiat,2009,120000,64000,Petrol
Ikon1.3,Ford,2008,95000,46000,Petrol
SuzukiOmni,Maruti,2017,240000,8000,Petrol
IndicaV2,Tata,2012,115000,64000,Diesel
ScorpioS4,Mahindra,2015,795000,63000,Diesel
XyloD2,Mahindra,2009,300000,62000,Diesel
Grandi10,Hyundai,2014,320000,41000,Petrol
SuzukiAlto,Maruti,2015,265000,14000,Petrol
Corolla,Toyota,2006,160000,40000,Petrol
EonMagna,Hyundai,2017,300000,1600,Petrol
SumoGrande,Tata,2010,130000,90000,Diesel
SuzukiSwift,Maruti,2011,250000,58000,Diesel
PoloHighline1.2L,Volkswagen,2013,380000,27000,Petrol
TiagoRevotron,Tata,2017,400000,31000,Petrol
SuzukiSwift,Maruti,2009,120000,90000,Diesel
IndigoeCS,Tata,2016,130000,150000,Diesel
BeatLS,Chevrolet,2014,189000,31000,Diesel
XyloE8,Mahindra,2011,365000,43000,Diesel
EonD,Hyundai,2013,170000,20000,Petrol
SumoGold,Tata,2013,215000,100000,Petrol
Elitei20,Hyundai,2017,599999,31000,Petrol
i10Magna,Hyundai,2009,400000,33000,Petrol
Creta,Hyundai,2016,900000,60000,Diesel
Polo,Volkswagen,2013,299999,48000,Diesel
SuzukiDzire,Maruti,2014,374999,33000,Petrol
BoltXM,Tata,2015,600000,15000,Petrol
SuzukiAlto,Maruti,2005,70000,47000,Petrol
SuzukiAlto,Maruti,2005,100000,40000,Petrol
SuzukiRitz,Maruti,2010,150000,38000,Diesel
SuzukiAlto,Maruti,2017,225000,12500,Petrol
SuzukiDzire,Maruti,2009,210000,42000,Petrol
i20Asta,Hyundai,2014,425000,31000,Petrol
SuzukiSwift,Maruti,2008,162000,60000,Diesel
ScorpioVLX,Mahindra,2014,650000,77000,Diesel
Innova2.5,Toyota,2012,750000,75000,Diesel
XyloE8,Mahindra,2010,375000,40000,Diesel
i20Magna,Hyundai,2011,230000,47000,Petrol
KUV100,Mahindra,2016,380000,26500,Petrol
KUV100K8,Mahindra,2019,560000,2875,Petrol
GoPlus,Datsun,2016,285000,13900,Petrol
SantroXing,Hyundai,2006,85000,60000,Petrol
SuzukiWagon,Maruti,2016,395000,20000,Petrol
SuzukiSwift,Maruti,2008,175000,58000,Diesel
SuzukiAlto,Maruti,2019,400000,1500,Petrol
Innova2.5,Toyota,2011,750000,75000,Diesel
SuzukiAlto,Maruti,2016,250000,2450,Petrol
SuzukiAlto,Maruti,2019,425000,1625,Petrol
PoloHighline1.2L,Volkswagen,2017,525000,45000,Petrol
Logan,Mahindra,2009,130000,65000,Diesel
Scorpio,Mahindra,2011,475000,60123,Diesel
Sail1.2,Chevrolet,2013,300000,28000,Petrol
SuzukiWagon,Maruti,2006,100000,7000,Petrol
Eon,Hyundai,2018,260000,25000,Petrol
Manza,Tata,2015,100000,100000,Diesel
EtiosG,Toyota,2013,265000,42000,Petrol
Qualis,Toyota,2003,180000,100000,Diesel
City1.5,Honda,2009,270000,55000,Petrol
ZestXE,Tata,2017,290000,120000,Diesel
QuantoC4,Mahindra,2013,325000,63000,Diesel
IndigoeCS,Tata,2016,160000,104000,Diesel
SuzukiSwift,Maruti,2016,350000,146000,Diesel
Elitei20,Hyundai,2011,290000,40000,Petrol
i20Select,Hyundai,2011,290000,40000,Petrol
TaveraNeo,Chevrolet,2007,465000,100800,Diesel
SuzukiDzire,Maruti,2016,325000,150000,Diesel
Elitei20,Hyundai,2018,510000,2100,Petrol
CityVX,Honda,2016,860000,95000,Petrol
SuzukiDzire,Maruti,2016,450000,2500,Diesel
Getz,Hyundai,2006,125000,80000,Petrol
BenzC,Mercedes,2006,500001,15000,Petrol
SuzukiAlto,Maruti,2005,95000,65000,Petrol
Fabia,Skoda,2009,110000,45000,Petrol
SuzukiRitz,Maruti,2011,270000,50000,Petrol
IndicaV2,Tata,2009,110000,30000,Diesel
CorollaAltis,Toyota,2009,300000,132000,Petrol
ZestXM,Tata,2018,260000,27000,Diesel
QuantoC8,Mahindra,2013,390000,40000,Diesel
